Article,Text
Article 15.7,"3. Nothing in this Agreement shall be construed to prevent the Parties from distinguishing, in the application of the relevant provisions of their fiscal legislation, between taxpayers who are not in the same situation, in particular with regard to their place of residence or with regard to the place where their capital is invested."
Article 15.7,4. Nothing in this Agreement shall be construed to prevent the adoption or enforcement of any measure aimed at preventing the avoidance or evasion of taxes pursuant to the tax provisions of agreements to avoid double taxation or other tax arrangements or domestic fiscal legislation.
Article 15.8,"1. Where a Party is in serious balance-of-payments and external financial difficulties, or under threat thereof, it may adopt or maintain restrictive measures with regard to trade in goods, services and establishment."
Article 15.8,2. The Parties shall endeavour to avoid the application of the restrictive measures referred to in paragraph 1.
Article 15.9,Nothing in this Agreement shall be construed:
Article 15.9,"(a) to require any Party to furnish any information, the disclosure of which it considers contrary to its essential security interests;"
Article 15.9,(b) to prevent any Party from taking any action which it considers necessary for the protection of its essential security interests:
Article 15.9,"(i) connected with the production of or trade in arms, munitions or war material or relating to economic activities carried out directly or indirectly for the purpose of provisioning a military establishment;"
Article 15.9,(ii) relating to fissionable and fusionable materials or the materials from which they are derived; or
Article 15.9,(iii) taken in time of war or other emergency in international relations; or
Article 15.9,(c) to prevent any Party from taking any action in order to carry out its international obligations for the purpose of maintaining international peace and security.
Article 15.10,1. This Agreement shall be approved by the Parties in accordance with their own procedures.
Article 15.10,2. This Agreement shall enter into force 60 days after the date the Parties exchange written notifications certifying that they have completed their respective applicable legal requirements and procedures or on such other date as the Parties may agree.
Article 15.10,"3. Notwithstanding paragraphs 2 and 5, the Parties shall apply the Protocol on Cultural Cooperation from the first day of the third month following the date when Korea has deposited its instrument of ratification of the UNESCO Convention on the Protection and Promotion of the Diversity of Cultural Expressions adopted in Paris on 20 October 2005 (hereinafter referred to as the ""UNESCO Convention"") to the UNESCO Secretariat in Paris unless Korea has deposited its instrument of ratification of the UNESCO Convention before the exchange of notifications referred to in paragraphs 2 or 5."
Article 15.10,"4. Notifications shall be sent to the Secretary-General of the Council of the European Union and to the Ministry of Foreign Affairs and Trade of Korea, or its successor."
Article 15.10,5. (a) This Agreement shall be provisionally applied from the first day of the month following the date on which the EU Party and Korea have notified each other of the completion of their respective relevant procedures.
Article 15.10,"(b) In the event that certain provisions of this Agreement cannot be provisionally applied, the Party which cannot undertake such provisional application shall notify the other Party of the provisions which cannot be provisionally applied. Notwithstanding subparagraph (a), provided the other Party has completed the necessary procedures and does not object to provisional application within 10 days of the notification that certain provisions cannot be provisionally applied, the provisions of this Agreement which have not been notified shall be provisionally applied the first day of the month following the notification."
Article 15.10,(c) A Party may terminate provisional application by written notice to the other Party. Such termination shall take effect on the first day of the month following notification.
Article 15.10,"(d) Where this Agreement, or certain provisions thereof, is provisionally applied, the term ""entry into force of this Agreement"" shall be understood to mean the date of provisional application."
Article 15.11,1. This Agreement shall be valid indefinitely.
Article 15.11,2. Either Party may notify in writing the other Party of its intention to denounce this Agreement.
Article 15.11,3. The denunciation shall take effect six months after the notification under paragraph 2.
Article 15.12,1. The Parties shall take any general or specific measures required to fulfil their obligations under this Agreement. They shall see to it that the objectives set out in this Agreement are attained.
Article 15.12,2. Either Party may immediately take appropriate measures in accordance with international law in case of denunciation of this Agreement not sanctioned by the general rules of international law.
Article 15.13,"Annexes, appendices, protocols and notes"
Article 15.13,"The Annexes, Appendices, Protocols and Notes to this Agreement shall form an integral part thereof."
Article 15.14,"1. Unless specified otherwise, previous agreements between the Member States of the European Union and/or the European Community and/or the European Union and Korea are not superseded or terminated by this Agreement."
Article 15.14,2. The present Agreement shall be an integral part of the overall bilateral relations as governed by the Framework Agreement. It constitutes a specific Agreement giving effect to the trade provisions within the meaning of the Framework Agreement.
Article 15.14,3. The Protocol on Mutual Administrative Assistance in Customs Matters supersedes the Customs Agreement with regard to the provisions concerning mutual administrative assistance.
Article 15.14,4. The Parties agree that nothing in this Agreement requires them to act in a manner inconsistent with their obligations under the WTO Agreement.
Article 15.15,"1. This Agreement shall apply, on the one hand, to the territories in which the Treaty on European Union and the Treaty on the Functioning of the European Union are applied and under the conditions laid down in those Treaties, and, on the other hand, to the territory of Korea. References to ""territory"" in this Agreement shall be understood in this sense, unless explicitly stated otherwise."
Article 15.15,"2. As regards those provisions concerning the tariff treatment of goods, this Agreement shall also apply to those areas of the EU customs territory not covered by paragraph 1."
Article 15.16,"This Agreement is drawn up in duplicate in the Bulgarian, Czech, Danish, Dutch, English, Estonian, Finnish, French, German, Greek, Hungarian, Italian, Latvian, Lithuanian, Maltese, Polish, Portuguese, Romanian, Slovak, Slovenian, Spanish, Swedish and Korean languages, each of these texts being equally authentic."
Article 15.16,Съставено в Брюксел на шести октомври две хиляди и десета година.
Article 15.16,"Hecho en Bruselas, el seis de octubre de dos mil diez."
Article 15.16,V Bruselu dne šestého října dva tisíce deset.
Article 15.16,Udfærdiget i Bruxelles den sjette oktober to tusind og ti.
Article 15.16,Geschehen zu Brüssel am sechsten Oktober zweitausendzehn.
Article 15.16,Kahe tuhande kümnenda aasta oktoobrikuu kuuendal päeval Brüsselis.
Article 15.16,"Έγινε στις Βρυξέλλες, στις έξι Οκτωβρίου δύο χιλιάδες δέκα."
Article 15.16,Done at Brussels on the sixth day of October in the year two thousand and ten.
Article 15.16,"Fait à Bruxelles, le six octobre deux mille dix."
Article 15.16,"Fatto a Bruxelles, addì sei ottobre duemiladieci."
Article 15.16,"Briselē, divi tūkstoši desmitā gada sestajā oktobrī."
Article 15.16,Priimta du tūkstančiai dešimtų metų spalio šeštą dieną Briuselyje.
Article 15.16,"Kelt Brüsszelben, a kétezer-tizedik év október hatodik napján."
Article 15.16,"Magħmul fi Brussell, fis- sitt jum ta' Ottubru tas-sena elfejn u għaxra."
Article 15.16,"Gedaan te Brussel, de zesde oktober tweeduizend tien."
Article 15.16,Sporządzono w Brukseli dnia szóstego października roku dwa tysiące dziesiątego.
Article 15.16,"Feito em Bruxelas, em seis de Outubro de dois mil e dez."
Article 15.16,"Întocmit la Bruxelles, la șase octombrie două mii zece."
Article 15.16,V Bruseli dňa šiesteho októbra dvetisícdesať.
Article 15.16,"V Bruslju, dne šestega oktobra leta dva tisoč deset."
Article 15.16,Tehty Brysselissä kuudentena päivänä lokakuuta vuonna kaksituhattakymmenen.
Article 15.16,Som skedde i Bryssel den sjätte oktober tjugohundratio.
Article 15.16,"Deze handtekening verbindt eveneens de Vlaamse Gemeenschap, de Franse Gemeenschap, de Duitstalige Gemeenschap, het Vlaamse Gewest, het Waalse Gewest en het Brussels Hoofdstedelijk Gewest."
Article 15.16,"Cette signature engage également la Communauté française, la Communauté flamande, la Communauté germanophone, la Région wallonne, la Région flamande et la Région de Bruxelles-Capitale."
Article 15.16,"Diese Unterschrift bindet zugleich die Deutschsprachige Gemeinschaft, die Flämische Gemeinschaft, die Französische Gemeinschaft, die Wallonische Region, die Flämische Region und die Region Brüssel-Hauptstadt."
Article 15.16,Für die Bundesrepublik Deutschland
Article 15.16,Pour le Grand-Duché de Luxembourg
Article 15.16,Voor het Koninkrijk der Nederlanden
Article 15.16,W imieniu Rzeczypospolitej Polskiej
Article 15.16,For the United Kingdom of Great Britain and Northern Ireland
Article 15.16,"[1] For the purposes of this Agreement, goods means products as understood in GATT 1994 unless otherwise provided in this Agreement."
Article 15.16,"[2] The Parties understand that this definition is without prejudice to the treatment that the Parties, in line with the WTO Agreement, may accord to trade conducted on a most-favoured-nation basis."
Article 15.16,"[3] A Party may require an importer to provide sufficient guarantee in the form of a surety, a deposit or some other appropriate instruments, covering the ultimate payment of the customs duties, taxes and fees in connection with the importation of the goods."
Article 15.16,[4] The sole fact of requiring a visa for natural persons of certain countries and not for those of others shall not be regarded as nullifying or impairing benefits under the terms of a specific commitment in this Chapter and its Annexes.
Article 15.16,[5] Central administration means the head office where ultimate decision-making takes place.
Article 1,"1. Recalling the obligations of the Parties under the WTO Agreement, in particular the TBT Agreement, and recognising the importance of electronics for growth, employment and trade for each Party, the Parties confirm their shared objectives and principles of:"
Article 1,(a) progressively and simultaneously eliminating tariffs and non-tariff obstacles to bilateral trade;
Article 1,"(b) establishing competitive market conditions based on principles of openness, non-discrimination, proportionality and transparency;"
Article 1,(c) gradually aligning their domestic regulations with existing international standards;
Article 1,"(d) promoting ""one test"" and, where practicable, a supplier’s declaration of conformity through elimination of duplicative and unnecessarily burdensome conformity assessment procedures;"
Article 1,(e) implementing appropriate regulatory and legal enforcement mechanisms related to product liability and market surveillance; and
Article 1,"(f) enhancing cooperation to foster continued mutually beneficial development in trade, as well as to improve product quality with a view to ensuring protection of public health and safety of products."
Article 1,"2. This Annex shall apply to any standard, technical regulation and conformity assessment procedure that either Party may introduce or maintain with respect to the safety and electromagnetic compatibility (hereinafter referred to as ""EMC"") of electrical and electronic equipment, professional electrotechnical equipment, electrical household appliances and consumer electronics defined in Appendix 2-B-1 (hereinafter referred to as ""covered products"")."
Article 2,International standards and standard-setting bodies
Article 2,"1. The Parties recognise that the International Organisation for Standards (hereinafter referred to as the ""ISO""), the International Electrotechnical Commission (hereinafter referred to as the ""IEC"") and the International Telecommunication Union (hereinafter referred to as the ""ITU"") are the relevant international standard-setting bodies for EMC and safety of covered products [1]."
Article 2,"2. Where relevant international standards established by the ISO, IEC and ITU exist, the Parties shall use these international standards or the relevant parts of them as a basis for any standard, technical regulation or conformity assessment procedure [2]."
Article 2,"3. The Parties shall ensure that their standard-setting bodies participate in the development of international standards in the ISO, IEC and ITU, and commit to consult with a view to establishing common approaches."
Article 3,Conformity assessment procedure
Article 3,"In case a Party requires a positive assurance of conformity with technical regulations on EMC or safety of covered products, the following rules shall apply [3]:"
Article 3,"(a) conformity assessment procedures shall not be prepared, adopted or applied with a view to or with the effect of creating unnecessary obstacles to trade with the other Party;"
Article 5,Consolidation and gradual reduction in requirements
Article 5,"1. The Parties shall, for covered products, not maintain or impose any requirements that are more trade-restrictive, or otherwise have the effect of delaying access to their markets, than what is set out in this Annex regarding conformity assessment procedures covering EMC or safety of covered products or administrative procedures for approving or reviewing test reports."
Article 6,Exceptions and emergency measures
Article 7,"1. The Parties shall closely cooperate to promote common understanding on regulatory issues, including those related to radio frequency equipment, and consider any request of the other Party regarding the implementation of this Annex."
Article 7,2. The Parties shall cooperate to maintain and expand the voluntary arrangements for mutual acceptance of test reports between them.
Article 1,"1. Recognising the importance of motor vehicles and parts for growth, employment and trade for each Party, the Parties confirm their shared objectives and principles, for these products, of:"
Article 1,(a) ensuring full reciprocal market access by elimination of tariffs and non-tariff obstacles to bilateral trade pursuant to this Agreement;
Article 1,(b) promoting compatibility of regulations based on international standards;
Article 1,"(c) establishing competitive market conditions based on principles of openness, non-discrimination and transparency;"
Article 1,"(d) securing the protection of human health, safety and environment; and"
Article 1,(e) enhancing cooperation to foster continued mutually beneficial development in trade.
Article 1,"2. This Annex shall apply to all forms of motor vehicles, systems and parts thereof falling under Chapters 40, 84, 85, 87 and 94 of the HS, except those products set out in Appendix 2-C-1."
Article 2,"1. The Parties recognise that the World Forum for Harmonisation of Vehicle Regulations (hereinafter referred to as the ""WP.29""), within the framework of the United Nations Economic Commission for Europe (hereinafter referred to as the ""UN ECE""), is the relevant international standard-setting body for the products covered by this Annex."
Article 2,"2. The Parties agree to participate actively in the development of regulations in WP.29 and shall cooperate for the adoption, without undue delay, of new regulations by WP.29."
Article 4,Consolidation of regulatory convergence
Article 4,"(a) at any time refrain from introducing any new domestic technical regulations diverging from UN ECE Regulations or GTR in areas covered by such regulations, or where the completion of such regulations is imminent, in particular in the areas covered by Appendix 2-C-2, in the case of the European Union, and Appendix 2-C-3, in the case of Korea; and"
Article 5,"With respect to internal taxes and emission regulations on products covered by this Annex, each Party shall accord to the products originating in the other Party no less favourable treatment than that accorded to the like products originating in any third country not party to this Agreement, including as provided in any free trade agreement with such third country."
Article 6,Products with new technologies or new features
Article 6,"1. Neither Party shall prevent or unduly delay the placing on its market of a product on the ground that it incorporates a new technology or a new feature which has not yet been regulated unless it can demonstrate, based on scientific or technical information, that this new technology or new feature creates a risk for human health, safety or the environment."
Article 6,"2. When a Party decides to refuse the placing on the market or require the withdrawal from the market of a product on the ground that it incorporates a new technology or a new feature creating a risk for human health, safety or the environment, it shall immediately notify this decision to the other Party and to the economic operators concerned. The notification shall include all relevant scientific or technical information."
Article 7,Other measures restricting trade
Article 7,"Each Party shall refrain from nullifying or impairing the market access benefits accruing to the other Party under this Annex through other regulatory measures specific to the sector covered by this Annex. This is without prejudice to the right to adopt measures necessary for road safety, the protection of the environment or public health and the prevention of deceptive practices provided such measures are based on substantiated scientific or technical information."
Article 9,Working Group on Motor Vehicles and Parts
Article 9,"1. In order to further facilitate trade in motor vehicles and parts and to address market access problems before they arise, the Parties agree to cooperate and to consult promptly on any matters concerning the application of this Annex. They agree to inform each other of any measure that may affect trade in products falling under the scope of this Annex, in accordance with Chapter Four (Technical Barriers to Trade). Upon request, each Party shall in a timely manner respond in writing to comments and questions regarding any problems arising with respect to any such measure, and be ready to enter into consultations on such measure with a view to seeking a mutually satisfactory outcome."
Article 10,1. Chapter Fourteen (Dispute Settlement) shall apply to this Annex subject to the following modifications:
Article 10,(a) Dispute concerning the interpretation or application of this Annex shall be considered a matter of urgency;
Article 1,"Recognising that while there are differences between each Party’s health care system, the Parties share a commitment to promoting the development of and facilitating access to high-quality patented and generic pharmaceutical products and medical devices, as a means of continuing to improve the health of their populations. In pursuing these objectives, the Parties confirm their shared principles with respect to the importance of:"
Article 1,(a) adequate access to pharmaceutical products and medical devices while providing high-quality health care;
Article 1,(b) sound economic incentives and competitive markets for the efficient development of and access to pharmaceutical products and medical devices;
Article 1,"(c) appropriate government support of academic and commercial research and development, intellectual property protection and other incentives for innovation in the research and development of pharmaceutical products and medical devices;"
Article 1,"(d) promotion of innovation of, and timely and affordable access to, safe and effective pharmaceutical products and medical devices through transparent and accountable procedures, without impeding a Party’s ability to apply high standards of safety, efficacy and quality;"
Article 1,"(e) ethical practices by manufacturers and suppliers of pharmaceutical products and medical devices and by health care providers on a global basis in order to achieve open, transparent, accountable and non-discriminatory health care decision-making; and"
Article 1,"(f) cooperation between the Parties in regulatory affairs and in the development of international practices in international organisations such as the World Health Organisation (hereinafter referred to as the ""WHO""), the Organisation for Economic Cooperation Development (hereinafter referred to as the ""OECD""), the International Conference on Harmonisation (hereinafter referred to as the ""ICH"") for pharmaceutical products and the Global Harmonisation Task Force (hereinafter referred to as the ""GHTF"") for medical devices, with a view to improving the safety, efficacy and quality of pharmaceutical products and medical devices."
Article 2,"To the extent that health care authorities in a Party operate or maintain procedures for listing pharmaceutical products or medical devices, for indications entitled to reimbursement, or for setting the amount of reimbursement or any measures related to pricing [1] for pharmaceutical products or medical devices under health care programmes they operate, that Party shall:"
Article 2,"(a) ensure that the procedures, rules, criteria and implementing guidelines that apply to the listing of pharmaceutical products or medical devices, indications for reimbursement, setting the amount of reimbursement, or any measures related to listing, pricing and/or reimbursement for pharmaceutical products or medical devices are fair, transparent, reasonable and non-discriminatory [2]; and"
Article 2,"(b) ensure that the health authorities’ determination of pricing and reimbursement for a pharmaceutical product or medical device, once approved by the appropriate regulatory authority as safe, efficacious and of good quality, and if based on public bodies’ or quasi-public bodies’ involvement, shall:"
Article 2,(i) appropriately recognise the value of the patented pharmaceutical product or medical device in the amount of pricing and reimbursement it provides;
Article 2,"(ii) permit a manufacturer of the pharmaceutical product or medical device to apply, based on scientific evidence of safety, efficacy, quality and benefits, for an increased amount of pricing and reimbursement over those provided for comparator products, if any, used to determine the amount of reimbursement;"
Article 2,"(iii) permit a manufacturer of the pharmaceutical product or medical device, after a decision on the pricing/reimbursement is made, to apply for an increased amount of reimbursement for the product based on scientific evidence the manufacturer provides on the product’s safety, efficacy, quality and benefits;"
Article 2,"(iv) permit a manufacturer of the pharmaceutical product or medical device to apply for the amount of pricing and reimbursement and price adjustment for additional medical indications for the product, based on scientific evidence the manufacturer provides on the product’s safety, efficacy, quality and benefits; and"
Article 2,"(v) in case a Party adjusts ex officio the amount of pricing/reimbursement of the pharmaceutical products or medical devices for external causes in specific circumstances, including drastic changes in economic indicators, permit a manufacturer of the pharmaceutical product or medical device to submit opinions regarding the adjustment before the adjustment is adopted."
Article 3,"1. Each Party shall ensure that its laws, regulations, procedures, administrative rulings and implementing guidelines of general application (hereinafter referred to as the ""rules""), regarding any matter related to the pricing, reimbursement or regulation of pharmaceutical products or medical devices are promptly published or otherwise made available at an early appropriate stage, in such a manner as to enable interested persons and the other Party to become acquainted with them."
Article 3,"2. To the extent possible, each Party shall:"
Article 3,"(a) publish in advance in relevant publicly accessible sites any such rules that it proposes to adopt or to significantly amend, including an explanation of the purpose of such rules;"
Article 3,"(b) provide reasonable opportunities for interested persons and the other Party to comment on any such proposed rules allowing, in particular, a reasonable period of time for consultation; and"
Article 3,"(c) address in writing significant and substantive issues raised in comments received from interested persons and the other Party during the comment period and explain any substantive revisions made with respect to such proposed rules, no later than the time the Party adopts them."
Article 3,"3. To the extent possible, each Party should allow a reasonable interval between the publication of any such rules on any matter related to the pricing, reimbursement or regulation of pharmaceutical products or medical devices and their effective date."
Article 3,"4. To the extent that each Party’s health care authorities operate or maintain procedures for listing pharmaceutical products or medical devices, for indications entitled to reimbursement, or for setting the amount of reimbursement for pharmaceutical products or medical devices, including any measures related to the revision of pricing and reimbursement under health care programmes, the Party shall:"
Article 3,"(a) ensure that decisions on all formal requests and applications for the pricing or approval of pharmaceutical products or medical devices for reimbursement are adopted and communicated within a reasonable and specified period from the date of their receipt. If the information submitted by the applicant is deemed inadequate or insufficient and the procedure is suspended as a result, the Party’s competent authorities shall notify the applicant of what detailed additional information is required and resume the original decision-making process upon receipt of this additional information;"
Article 3,"(b) disclose to applicants within a reasonable and specified period of time, all procedures, methodologies, principles, criteria, including those used, if any, to determine comparator products, and guidelines used to determine pricing and reimbursement for pharmaceutical products or medical devices;"
Article 3,(c) afford applicants timely and meaningful opportunities to provide comments at relevant points in the pricing and reimbursement decision-making processes for pharmaceutical products or medical devices;
Article 3,"(d) provide, within a reasonable and specified period of time, applicants with meaningful and detailed written information regarding the basis for recommendations or determinations of the pricing and reimbursement of pharmaceutical products or medical devices, including citations to any expert opinions or academic studies relied upon in making such recommendations or determinations. Specifically, in case of a negative decision on listing, prices and/or reimbursement, or should the decision-making body decide not to permit in whole or in part the price increase requested, the decision-making body shall provide a statement of reasons that is sufficiently detailed to understand the basis of the decision, including the criteria applied and, if appropriate, any expert opinions or recommendations on which the decision is based;"
Article 3,"(e) make available judicial, quasi-judicial or administrative tribunals, or independent review process [3] that may be invoked at the request of an applicant directly affected by a recommendation or determination and at the point of communication of decision on price and reimbursement inform the applicant of his or her rights under the laws of the Party and the procedures and time-lines for seeking such remedies;"
Article 3,"(f) make all reimbursement decision-making bodies open to stakeholders, including innovative and generic companies;"
Article 3,(g) make publicly available a list of central bodies relevant to the pricing or reimbursement of pharmaceutical products or medical devices; and
Article 3,"(h) provide access to each Party’s national pricing and reimbursement arrangements including a positive list of products covered by the respective public health insurance schemes to be published on an annual basis for stakeholders with legitimate commercial interests. The negative list, if any, shall be published every six months."
Article 3,"5. Each Party shall ensure that all measures of general application respecting any matter related to the pricing, reimbursement or regulation of pharmaceutical products or medical devices are administered in a consistent, objective and impartial manner."
Article 4,"1. Each Party shall adopt or maintain appropriate measures to prohibit improper inducements by manufacturers and suppliers of pharmaceutical products or medical devices to health care professionals or institutions for the listing, purchasing or prescribing of pharmaceutical products and medical devices eligible for reimbursement under health care programmes."
Article 4,2. Each Party shall adopt or maintain appropriate penalties and procedures to enforce the measures that it adopts or maintains in conformity with paragraph 1.
Article 4,3. Each Party shall bring to the other Party’s attention any improper inducements conducted by its manufacturers of pharmaceutical products or medical devices. The Parties recall their obligations under the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions which entered into force on 15 February 1999.
Article 5,"1. The Parties will take into account, as appropriate, international provisions, practices and guidelines for pharmaceutical products or medical devices, including those developed by the WHO, the OECD, the ICH, the GHTF and the Pharmaceutical Inspection Convention and Pharmaceutical Inspection Cooperation Scheme (PIC/S). The Parties recognise that their full participation in those relevant international bodies will facilitate regulatory cooperation between them."
Article 5,2. The Parties will consider the requests by either Party to accept conformity assessments [4] of that Party when performed in accordance with the Good Laboratory Practices and Good Manufacturing Practices of pharmaceutical products and medical devices and when both Parties’ corresponding practices are in accordance with international practices.
Article 6,1. For the purposes of this Annex:
Article 6,"pharmaceutical products means any substance or combination of substances which may be administered to human beings with a view to making a medical diagnosis, to treating or preventing diseases or to restoring, correcting or modifying physiological functions or structures. Pharmaceutical products include, for example, chemical drugs, biologics/biologicals (vaccines, (anti)toxins, blood, blood components, blood-derived products), herbal drugs, radiopharmaceuticals, recombinant products, gene therapy products, cell therapy products and tissue engineered products;"
Article 6,"medical device means any instrument, apparatus, appliance, material or other article, whether used alone or in combination, intended by the manufacturer to be used for human beings for medical purposes such as diagnosis, prevention, monitoring, treatment or alleviation of diseases [5]. Medical device includes software incorporated into the device by its manufacturer and necessary for the proper functioning of the device;"
Article 6,"a Party’s health care authorities means entities that are part of or have been established by a Party to operate or administer its health care programmes, unless otherwise specified;"
Article 6,health care programmes operated by a Party means health care programmes in which the health care authorities of a Party make decisions regarding matters to which this Annex applies;
Article 6,manufacturer refers to the legal right holder of the product in the respective Party’s territory;
Article 6,a negative list is defined as a compilation of pharmaceutical products and medical devices that have been excluded from being prescribed and/or reimbursed under a Party’s public health care programme(s); and
Article 6,a positive list is defined as an exhaustive compilation of pharmaceutical products and medical devices that can be prescribed and/or reimbursed under a Party’s public health care programme(s).
Article 6,2. The definitions for pharmaceutical products and medical devices stated in paragraph 1 are without prejudice to each Party’s right to classify products as either pharmaceutical products or medical devices in its legislation.
Article 6,[1] References to pricing in this Annex are only relevant if applicable under the legislation of either Party.
Article 6,"[2] The Parties understand that under this subparagraph, which does not establish any obligation to reimburse products at any given price or prejudge the specific outcome of price negotiations, the criteria (which may take forms such as guidelines, public notices or ""matters to be considered"", etc.) on which the decisions on reimbursement and pricing will be based are expected to be objective and clear so as to allow understanding of the basis of such decisions."
Article 6,"[3] In addition to what is set out in this subparagraph, applicants must be able to avail themselves of remedies ensuring effective legal protection. They must be able to appeal decisions before genuine judicial bodies."
Article 6,"[4] For the purposes of pharmaceutical products, conformity assessment means marketing authorisation of products, and the supervision/enforcement of manufacturers’ or importers’ compliance with technical standards/practices."
Article 6,"[5] For greater clarity, medical device does not achieve its principal intended action in or on the human body by pharmacological, immunological or metabolic means, but may be assisted in its function by such means."
Article 6,--------------------------------------------------
Article 6,"1. Recalling the obligations of the Parties under the WTO Agreement, in particular the TBT Agreement, and recognising the importance of sustainable development and trade for each Party, the Parties confirm their shared objectives and principles of:"
Article 6,"(a) establishing competitive market conditions based on principles of openness, non-discrimination and transparency;"
Article 6,(b) enhancing cooperation to foster continued mutually beneficial development in trade;
Article 6,(c) ensuring a high level of protection of public health and the environment;
Article 6,(d) promoting alternative methods for assessment of hazards of substances and reducing animal testing;
Article 6,(e) implementing appropriate regulatory mechanisms and protecting confidential information;
Article 6,(f) contributing to the fulfilment of the Strategic Approach to International Chemicals Management; and
Article 6,(g) developing and promoting best practices on chemicals assessment and management internationally.
Article 6,"2. Based on the objectives and principles in paragraph 1 and with a view to facilitating and promoting trade, the Parties recognise the importance of:"
Article 6,"(a) ensuring transparency regarding the content of their laws, regulations and other measures of general application in the area of chemicals;"
Article 6,(b) providing transparency and due process when regulating and operating their chemical management regimes;
Article 6,"(c) applying, whenever possible, best practices with respect to the adoption and implementation of legislation, risk assessments and registration, authorisation, notification and treatment of confidential business information; and"
Article 6,"(d) cooperating in the area of Good Laboratory Practices and Test Guidelines, in order to seek a more harmonised approach to chemical assessment and management for the purpose of seeking international harmonisation of approaches thereto."
Article 6,3. The Parties agree to discuss in good faith any problems arising from the application of a Party’s regulations on chemicals that have a substantial effect on trade of the other Party.
Article 1,"BOT contract means any contractual arrangement the primary purpose of which is to provide for the construction or rehabilitation of physical infrastructure, plant, buildings, facilities, or other government-owned works and under which, as consideration for a supplier’s execution of a contractual arrangement, a procuring entity grants to the supplier, for a specified period of time, temporary ownership or a right to control and operate, and demand payment for the use of, such works for the duration of the contract."
Article 1,public works concession means a contract of the same type as a public works contract except for the fact that the consideration for the works to be carried out consists either solely in the right to exploit the work or in this right together with payment;
Article 1,"public works contract means public contracts having as their object either the execution, or both the design and execution, of works related to one of the activities within the meaning of Division 51 of the CPC or a work, or the realisation, by whatever means, of a work corresponding to the requirements specified by the contracting authority; and"
Article 1,work means the outcome of building or civil engineering works taken as a whole which is sufficient of itself to fulfil an economic or technical function.
Article 2,Rules applicable to BOT contracts and public works concessions
Article 2,National Treatment and Non-Discrimination
Article 3,1. This Annex shall apply to BOT contracts and public works concessions the value of which is above 15000000 SDR.
Article 3,"2. As regards the European Union, this Annex covers public works concessions of the entities listed in Annexes 1 and 2 of the European Union’s GPA 1994 Appendix I and their corresponding Annexes in any agreement which replaces or amends the GPA 1994, in the sectors set out therein."
Article 3,"3. As regards Korea, this Annex covers BOT contracts of the entities listed in Annexes 1 and 2 of Korea’s GPA 1994 Appendix I and their corresponding Annexes in any agreement which replaces or amends the GPA 1994, and, further to this, BOT contracts of all local governments [1] located in Seoul City, Busan City, Incheon City and Gyonggi-do."
Article 4,"the Internet homepage of each entity in Annexes 1 and 2 of Korea’s GPA 1994 Appendix I and their corresponding Annexes in an agreement which replaces or amends the GPA 1994 and all local governments located in Seoul City, Busan City, Incheon City and Gyonggi-do and daily press."
Article 4,the information system for European public procurement:
Article 4,http://simap.europa.eu/index_en.html
Article 4,The Official Journal of the European Union.
Article 4,"[1] For Korea, local government means a local government as defined in the Local Autonomy Act."
Article 4,--------------------------------------------------
Article 4,GEOGRAPHICAL INDICATIONS FOR AGRICULTURAL PRODUCTS AND FOODSTUFFS
Article 4,AGRICULTURAL PRODUCTS AND FOODSTUFFS ORIGINATING IN THE EUROPEAN UNION [1] [2]
Article 1,The objective of this Annex is to facilitate the finding of a mutually agreed solution to non-tariff measures adversely affecting trade between the Parties through a comprehensive and expeditious procedure with the assistance of a mediator.
Article 2,"The mediation mechanism shall apply to any measure, other than customs duties, which a Party believes adversely affects trade between the Parties and which is related to any matter falling under market access in goods [1] including under Chapter Two (National Treatment and Market Access for Goods) and the Annexes pertaining thereto."
Article 2,PROCEDURE UNDER THE MEDIATION MECHANISM
Article 3,Initiation of the mediation procedure
Article 3,"1. A Party may request, at any time, that the other Party enter into a mediation procedure. Such request shall be addressed to the other Party in writing. The request shall be sufficiently detailed to present clearly the concerns of the requesting Party and shall:"
Article 3,(a) identify the specific measure at issue;
Article 3,(b) provide a statement of the alleged adverse effects that the requesting Party believes the measure has on trade between the Parties; and
Article 3,(c) explain how the requesting Party considers that those trade effects are linked to the measure.
Article 3,2. The Party to which such request is addressed shall favourably consider the request and provide a written reply to the request within 15 days of its receipt.
Article 4,"1. Upon launch of the mediation procedure, the Parties are encouraged to agree on a mediator no later than 15 days after the receipt of the reply to the request. If the Parties cannot agree on the mediator within the established time frame, either Party may request appointment of the mediator by lot. Within five days of the submission of the request, each Party shall establish a list of at least three persons who are not nationals of that Party, fulfil the conditions of paragraph 2 and may act as mediator. Within five days of submission of the list, each Party shall select at least one name from the other Party’s list. The chair of the Trade Committee or the chair’s delegate shall then select the mediator by lot among the selected names. The selection by lot shall be made in the presence of representatives of the Parties and within 15 days of the submission of the request for appointment by lot."
Article 4,"2. The mediator shall be an expert on the subject matter to which the measure in question relates [2]. The mediator shall assist, in an impartial and transparent manner, the Parties in bringing clarity to the measure and its possible trade effects, and in reaching a mutually agreed solution."
Article 5,Rules of the mediation procedure
